,block_size,time,cr,cr_zip,mean_error
0,2,223.6244249343872,3.1208201038883616,8.508237912833739,0.018401305443034904
1,4,135.77766871452332,3.220791786071172,7.517212230706372,0.015994085218614847
2,6,106.181809425354,2.743730555589657,6.267188482396855,0.013747612201947026
3,8,90.49279713630676,2.471360535897829,5.617532512521824,0.012283428089890466
4,10,83.29916977882385,2.319276707732854,5.262605908495977,0.011339743974137907
5,12,79.25734806060791,2.2304225307004355,5.061295379113391,0.010664045462972182
6,14,78.20204734802246,2.1796639024520017,4.945739484061526,0.010207595297279031
7,16,74.03700137138367,2.151740734661449,4.883827153830481,0.009873757757123845
8,18,77.25013756752014,2.1407643518034147,4.860754051495479,0.009575068818491623
9,20,81.02803468704224,2.137456900687065,4.854463139435796,0.009338004441515823
10,22,91.60807180404663,2.1459275052061284,4.875055915275163,0.009129552785616847
11,24,90.31035327911377,2.165798061701996,4.921187822837952,0.009006660960111903
12,26,108.63086915016174,2.1896058293068035,4.976417791130593,0.008850843755000483
13,28,101.95574808120728,2.2191424730484526,5.044436311465306,0.00871875480653764
14,30,107.02737331390381,2.2480250969780555,5.111775219053275,0.00863074278678912
15,40,125.78638744354248,2.4349162250708467,5.538921869087096,0.008202876238819835
16,60,159.45334720611572,3.1504512562653724,7.172979642967728,0.007800973689953686
17,80,181.05143404006958,3.919863649667552,8.932171261246921,0.007416330440293106
18,100,172.952006816864,5.643362812970172,12.866548282215774,0.007257612268684933
19,120,160.38100147247314,8.161627298620253,18.613740182941527,0.0070973118604066064
20,140,148.99551463127136,11.938052963253991,27.234653377882232,0.006702352118824224
21,160,147.06300163269043,15.67383363381853,35.75824201517174,0.006210201160838439
22,180,34.41800332069397,66.87099938015095,152.57821278227257,0.005236894751018245
